"hisco" "hiscam"
1100 85.58
1110 85.58
1190 85.58
1200 85.58
1210 82.98
1300 82.98
1340 85.58
1400 69.76
1420 82.98
1430 82.98
2000 99
2100 82.58
2120 84.26
2130 88.13
2140 74.34
2200 82.58
2210 83.16
2220 82.58
2230 82.58
2240 84.26
2245 82.58
2255 71.27
2290 89.01
2300 82.58
2305 87.33
2310 74.34
2400 82.58
2410 82.58
2430 82.58
2450 82.58
2460 82.58
2510 84.26
2620 74.34
2700 82.58
2710 82.58
2740 82.58
2900 90.56
2930 82.58
2990 82.58
3000 80.52
3010 80.52
3020 78.43
3022 82.58
3030 82.58
3040 81.79
3090 84.26
3100 74.34
3110 74.34
3120 73.23
3130 74.34
3140 74.34
3150 82.58
3160 74.34
3170 82.58
3180 74.34
3200 76.18
3300 73.62
3310 73.62
3320 82.58
3330 84.26
3340 82.58
3390 79.3
3405 82.13
3490 82.58
3510 75.59
3520 82.58
3540 82.58
3550 82.58
3590 74.34
3620 82.58
3720 82.58
3930 82.58
4100 49.81
4120 49.81
4125 49.81
4130 49.81
4140 49.81
4200 49.81
4215 78.25
4217 49.81
4220 56.06
4230 66.7
4240 66.47
4250 51.95
4290 49.81
4320 51.95
5100 93.51
5110 93.51
5120 94.44
5190 94.44
5230 89.3
5260 94.44
5320 96.12
5330 94.61
5340 96.12
5360 96.12
5390 94.44
5400 91.58
5420 96.12
6100 92.87
6105 92.87
6110 92.87
6120 92.87
6130 92.87
6140 92.87
6190 92.87
6210 69.15
6300 87.02
6310 89.61
6320 88.05
6420 59.29
6500 69.47
6510 69.47
6520 88.05
6590 88.05
6700 86.45
6710 86.45
6810 59.29
6910 59.29
6990 59.29
7100 69.15
7110 69.15
7130 69.15
7200 66.01
7210 69.15
7300 66.01
7310 55.54
7410 49.65
7500 66.01
7520 88.05
7530 92.87
7600 66.01
7620 59.29
7640 59.29
7900 66.01
7920 56.45
7930 56.45
7990 56.45
8110 87.02
8130 87.02
8200 87.02
8220 87.02
8230 87.02
8250 87.02
8490 87.02
9010 87.02
9150 87.02
9999 77.88
11000 77.81
11010 77.81
11020 77.81
12000 99
12100 98.56
12110 99
12200 98.56
12210 99
12310 99
12400 96.02
12410 96.02
12900 96.23
12910 96.23
13000 82.44
13020 66.7
13030 78.08
13100 99
13130 99
13140 99
13170 99
13175 99
13190 99
13200 86.41
13215 85.23
13220 85.23
13230 85.23
13250 80.88
13260 85.23
13270 85.23
13275 86.41
13280 85.23
13290 85.23
13320 67.88
13390 70.16
13420 80.65
13490 80.65
13590 80.65
13900 80.65
13940 81.63
13950 81.63
13960 73.2
13990 74.54
14100 95.41
14120 95.41
14130 67.76
14140 97.7
14190 97.7
14990 66.3
15120 79.8
15900 83.43
15915 86.98
15920 81.62
15930 81.62
15945 81.62
15950 81.62
15960 80.5
15990 81.62
16000 70.41
16100 78.33
16120 67.33
16130 84.2
16150 69.43
16160 77.88
16190 74.04
16200 71.94
16220 74.04
16230 71.94
16240 74.04
16250 75.44
16300 74.04
16310 71.94
16350 74.04
16360 71.94
17000 64.37
17100 78.48
17120 78.48
17130 63.79
17135 64.37
17140 63.79
17145 68.98
17150 64.37
17190 63.79
17200 64.37
17220 63.79
17230 64.37
17300 64.37
17320 63.79
17340 63.79
17420 64.37
17490 63.79
17530 63.79
17540 63.79
17590 63.79
17900 64.37
17920 50.63
17940 64.37
17990 61.84
18000 64.37
18020 64.37
18050 63.18
18090 64.37
19100 87.02
19120 87.02
19130 87.02
19140 87.02
19190 87.02
19200 87.02
19250 87.02
19290 87.02
19300 87.02
19320 87.02
19390 87.02
19400 87.02
19420 87.02
19430 87.02
19490 87.02
19500 87.02
19520 87.02
19530 87.02
19540 87.02
19900 87.02
19950 87.02
19960 87.02
19990 87.02
20100 93.36
20110 93.36
20200 87.77
20210 87.77
21000 77.79
21100 84.88
21110 84.88
21200 84.88
21220 74.73
21230 87.02
21240 71.01
21300 70.61
21320 72.44
21340 72.66
21420 87.02
21430 77.79
21490 83.33
21900 82.63
21940 88.52
21950 80.54
21960 84.88
21970 80.54
21980 80.54
21990 89.86
22000 68.72
22100 57.95
22110 79.5
22190 88.55
22200 57.95
22210 82.68
22220 96.11
22230 73.33
22235 76.86
22240 72.48
22245 72.48
22250 76.86
22265 76.86
22275 76.86
22280 76.86
22290 72.48
22300 57.95
22320 85.63
22330 85.63
22390 85.63
22420 51.38
22425 51.38
22430 51.38
22440 54.18
22450 64.54
22460 54.18
