occupation	hisco	status	relation	product
"proprietor of railway shares"	-1			
"labourer's widow"	-1			
"house proprieter"	-1			
"in pensioner"	-1			
"land proprietress"	-1			
"beggar"	-1			
"charterhouse pensioner"	-1			
"navy pensioner"	-1			
"government annuitant"	-1			
"funded proprietor"	-1			
"bank pensioner"	-1			
"single woman"	-1			
"annuitant"	-1			
"pauper"	-1			
"government pensioner"	-1			
"orphan"	-1			
"superannuated from post office"	-1			
"gentlewoman"	-1			
"proprietor of silver mines and mining engineer"	-1			
"scavenger"	-1			
"greenwich pensioner"	-1			
"pensioner"	-1			
"dock pensioner"	-1			
"gentleman (deceased)"	-1			
"e.i.c. pensioner"	-1			
"proprietress of houses"	-1			
"prisoner"	-1			
"house proprietor"	-1			
"proprietor of houses"	-1			
"widow"	-1			
"east india pensioner"	-1			
"almsman"	-1			
"esquire"	-1			
"baronet, g.c.b."	-1			
"van proprietor"	-1			
"fund holder"	-1			
"scholar of christ's hospital"	-1			
"count"	-1			
"out pensioner of chelsea hospital"	-1			
"out pensioner greenwich hospital"	-1			
"architect's pupil"	-1			
"pupil at ufton house"	-1			
"schoolboy"	-1			
"out pensioner"	-1			
"london dockyard apprentice"	-1			
"lord, clerk in holy orders"	-1			
"dockyard pensioner"	-1			
"a foundling"	-1			
"foundling"	-1			
"almswoman"	-1			
"pensioner e.i.c."	-1			
"freeholder"	-1			
"almsman, formerly coachman"	-1			
"inmate"	-1			
"fundholder"	-1			
"gentleman"	-1			
"independent"	-1			
"landed proprieter"	-1			
"knight, formerly lieut. colonel"	-1			
"gentleman (d)"	-1			
"student"	-1			
"baronet"	-1			
"tramp"	-1			
"knight"	-1			
"spinster"	-1			
"wife of mexican minister"	-1			
"customs pensioner"	-1			
"chemist"	1110			
"chemist's assistant"	1110			
"astronomer"	1350			
"gold and silver assayer"	1390			
"chemist's laboratory man"	1400			
"distiller's chemist"	1400			
"chemist's man"	1400			
"demonstrator of chemistry"	1420			
"architect"	2120			
"architect and surveyor"	2120			
"civil engineer"	2210			
"mechanical engineer"	2410			
"district surveyor"	3010			
"land surveyor"	3020			
"draughtsman"	3110			
"draftsman"	3110			
"lithographic draughtsman"	3180			
"lithographic artist"	3180			
"navigator"	4140			
"master of ship palmerston"	4215			
"master r.n."	4215			
"master mariner"	4215			
"barge master"	4220			
"chief mate in steamship"	4230			
"ship's mate"	4230			
"shipmaster"	4270			
"coasting pilot"	4290			
"pilot"	4290			
"engineer of vessel"	4320			
"engineer r.n."	4320			
"engineer on steam vessel"	4320			
"engineer of steam vessel"	4320			
"m.d."	6105			
"medical practitioner"	6105			
